index,latitude,longitude,available_bikes,empty_slots,name,FS Restaurant Distance,Station Distance,yelp_index,yelp_rating,yelp_distance,Bike_Usage
21,25.7883347,-80.1932528,5,9,000650 - NE 14th Street NE Miami Place,5,0,21,4.5,17.598473414347684,64.29
22,25.789722,-80.188952,2,14,000651 - Biscayne Blvd & NE 15th Terr,299,0,22,4.5,303.7070760760504,87.5
23,25.78974,-80.18622,11,5,000652 - NE 15th St & Herald Plaza,66,0,23,4.5,423.43896694477706,31.25
24,25.79274,-80.18646,10,6,000653 - N. Bayshore Dr btw NE 17th & 18th St,20,0,24,4.5,182.2883942676509,37.5
25,25.794895,-80.188672,15,1,000654 - NE 19th St & Biscayne Blvd,80,0,25,4.5,163.55743865184996,6.25
26,25.801,-80.18888,14,0,000656 - NE 25th St & Biscayne Blvd,161,0,26,4.5,224.6012600049683,0.0
27,25.80533,-80.1891,5,11,000657 - NE 30th St & Biscayne Blvd,81,0,27,4.5,59.963116350651774,68.75
28,25.7799583,-80.1955923,0,14,000660 - 600 NW 1st Ave (Brightline Station),146,463,28,5.0,92.92423339882696,100.0
29,25.7984785,-80.2031538,7,3,000663 - NW 5th Ave & 22 Street,223,0,29,4.5,234.5663495194214,30.0
30,25.8022384,-80.2014196,5,3,000664 - NW 3rd Ave & 27th Terr,39,0,30,5.0,30.871912229919197,37.5
31,25.8014206,-80.1991306,14,1,000665 - 26th St & NW 2nd Ave,45,0,31,5.0,211.85428205077568,6.67
32,25.8025414,-80.1948694,14,0,000666 - NE 27th St & N. Miami Ave,12,0,32,5.0,67.59655717213536,0.0
33,25.775986,-80.18865,2,9,000643 - NE 3rd Ave & 2 Street,30,735,33,5.0,177.72782425002404,81.82
34,25.775019,-80.196429,8,8,000676 - NW 1st Street & 1st Ave,157,96,34,4.5,233.9219625429915,50.0
35,25.747976,-80.210054,4,12,000611 - 32 Rd & South Miami Ave,418,0,35,4.0,99.60489663042868,75.0
